smiles,value,index
*CC(*)C,0.4343,0
*CC(*)F,0.874,1
*CC(*)(F)F,1.1415,2
*C(F)C(*)(F)F,1.524,3
*CCC(F)(F)C(*)(F)F,0.4489,4
*CO*,0.9897,5
*CCO*,0.3936,6
*CC(O*)C(F)(F)F,0.7546,7
*CCCO*,0.5672,8
*Oc1ccc(Cc2ccc(*)cc2)cc1,1.1795,9
*CCCCCOCO*,0.5413,10
*CCOC(=O)NCCOCCOCCNC(=O)O*,0.573,11
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,3.0398,12
*CCCCCS*,0.5118,13
*Sc1ccc(*)cc1,2.0372,14
*CCOC(=O)CCCCC(=O)O*,1.0754,15
*CCOC(=O)CCCCCCC(=O)O*,0.8924,16
*CCOC(=O)c1ccc(C(=O)O*)cc1,2.2723,17
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,2.4936,18
*CC(=O)O*,1.2063,19
*CCCCCC(=O)O*,0.5062,20
*CCC(=O)O*,0.7562,21
*Oc1ccc(CC(*)=O)cc1,1.5033,22
*Cc1ccc(C(=O)O*)cc1,2.2574,23
*CCC(=O)N*,1.1904,24
*CCCCCCC(=O)N*,0.6934,25
*CC(=O)N*,0.7672,26
*Nc1cccc(C(*)=O)c1,2.356,27
*Cc1ccc(C(=O)N*)cc1,1.8315,28
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,0.9199,29
*OC(=O)c1ccc(C(*)=O)cc1,3.2451,30
*Oc1ccc(OC(*)=O)cc1,1.4499,31
*CCCN*,0.5296,32
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,2.4594,33
*c1ccc(*)cc1,2.6013,34
*CCc1ccc(-c2ccc(*)cc2)cc1,1.482,35
*OC1C(CO)OC(*)C(O)C1O,0.8344,36
*Cc1ccc(CO*)cc1,1.6106,37
*CCOCCOC(=O)O*,0.4954,38
*CCC(O*)(C(F)(F)F)C(F)(F)F,0.4911,39
*c1ccc(*)s1,2.9681,40
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,2.4015,41
*Nc1ccc(*)cc1,0.9827,42
*c1cccc(*)n1,2.2143,43
*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,1.5606,44
*c1ccc(-c2ccc(*)s2)s1,2.9681,45
*c1ccc2oc(-c3ccc4nc(*)oc4c3)nc2c1,3.155,46
*Cc1ccc(C*)cc1,0.8499,47
*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,0.7602,48
*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,1.1922,49
*C(=S)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,3.9365,50
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,2.4093,51
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,3.2944,52
*Oc1ccc(C(=S)c2ccc(*)s2)s1,3.4574,53
*C(=S)OC(=S)c1ccc(*)s1,4.0075,54
*Oc1ccc(Oc2ccc(*)s2)s1,1.3443,55
*OC(=S)Oc1ccc(*)s1,2.5249,56
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)s2)cc1,2.752,57
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,1.7103,58
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)s2)cc1,2.3385,59
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,3.3503,60
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,1.8588,61
*c1ccc(-c2ccc(C(=S)c3ccc(*)s3)s2)cc1,3.6267,62
*c1ccc(-c2ccc(Oc3ccc(*)s3)s2)cc1,2.1082,63
*C(=S)Oc1ccc(-c2ccc(*)cc2)s1,2.8418,64
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,1.897,65
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,2.2963,66
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,3.0264,67
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,1.6576,68
*OC(=S)c1ccc(-c2ccc(*)cc2)cc1,2.7321,69
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,4.1807,70
*Oc1ccc(C(=S)c2ccc(*)cc2)s1,3.2177,71
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,2.9311,72
*Oc1ccc(C(=S)c2ccc(*)cc2)cc1,3.1315,73
*C(=S)OC(=S)c1ccc(*)cc1,3.7508,74
*Oc1ccc(Oc2ccc(*)cc2)s1,1.2264,75
*c1ccc(OC(=S)c2ccc(*)s2)cc1,3.1094,76
*OC(=S)Oc1ccc(*)cc1,1.8722,77
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,2.0787,78
*Cc1ccc(-c2ccc(C(*)=S)s2)s1,3.2587,79
*Cc1ccc(-c2ccc(O*)s2)s1,1.7705,80
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,1.9244,81
*Cc1ccc(-c2ccc(C(*)=S)cc2)s1,2.9754,82
*Cc1ccc(-c2ccc(O*)cc2)s1,1.4385,83
*Cc1ccc(Cc2ccc(*)s2)s1,1.174,84
*Cc1ccc(CC(*)=S)s1,2.588,85
*Cc1ccc(C(=O)c2ccc(*)s2)s1,2.8498,86
*Cc1ccc(C(=O)C(*)=S)s1,3.3428,87
*Cc1ccc(C(=O)O*)s1,2.358,88
*Cc1ccc(C(=S)c2ccc(*)s2)s1,3.3843,89
*Cc1ccc(C(=S)O*)s1,2.9654,90
*Cc1ccc(Nc2ccc(*)s2)s1,1.1194,91
*Cc1ccc(NC(*)=S)s1,2.0497,92
*Cc1ccc(NO*)s1,1.3873,93
*Cc1ccc(Oc2ccc(*)s2)s1,1.2199,94
*Cc1ccc(OC(*)=S)s1,2.3956,95
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,1.9547,96
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,1.8331,97
*Cc1ccc(-c2ccc(C(*)=S)s2)cc1,3.0651,98
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,1.812,99
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,1.7487,100
*Cc1ccc(-c2ccc(C(*)=S)cc2)cc1,2.7075,101
*Cc1ccc(Cc2ccc(*)s2)cc1,0.9966,102
*Cc1ccc(Cc2ccc(*)cc2)cc1,1.0649,103
*Cc1ccc(CC(*)=S)cc1,2.6743,104
*Cc1ccc(C(=O)c2ccc(*)s2)cc1,2.5375,105
*Cc1ccc(C(=O)c2ccc(*)cc2)cc1,2.314,106
*Cc1ccc(C(=O)C(*)=S)cc1,3.3639,107
*Cc1ccc(C(=S)c2ccc(*)s2)cc1,3.0211,108
*Cc1ccc(C(=S)c2ccc(*)cc2)cc1,2.874,109
*Cc1ccc(C(=S)O*)cc1,2.8319,110
*Cc1ccc(Nc2ccc(*)s2)cc1,0.9705,111
*Cc1ccc(Nc2ccc(*)cc2)cc1,0.9546,112
*Cc1ccc(NC(*)=S)cc1,2.0656,113
*Cc1ccc(NO*)cc1,0.7333,114
*Cc1ccc(Oc2ccc(*)s2)cc1,1.0627,115
*Cc1ccc(OC(*)=S)cc1,2.2773,116
*CCc1ccc(-c2ccc(*)s2)s1,1.9411,117
*CCc1ccc(C(*)=S)s1,3.3272,118
*CCc1ccc(O*)s1,0.6627,119
*CCc1ccc(-c2ccc(*)s2)cc1,1.6982,120
*CCc1ccc(C(*)=S)cc1,3.1161,121
*CCc1ccc(O*)cc1,0.7536,122
*CCCc1ccc(*)s1,0.9489,123
*CCCc1ccc(*)cc1,0.9937,124
*CCCC(*)=O,1.2346,125
*CCCC(*)=S,2.3997,126
*CCC(=O)c1ccc(*)s1,2.6933,127
*CCC(=O)c1ccc(*)cc1,2.3583,128
*CCC(=O)C(*)=S,3.1911,129
*CCC(=S)O*,2.069,130
*CCNc1ccc(*)s1,0.6915,131
*CCNc1ccc(*)cc1,0.6326,132
*CCNC(*)=S,1.6837,133
*CCON*,0.6058,134
*CC(=O)c1ccc(-c2ccc(*)s2)s1,2.8128,135
*CC(=O)c1ccc(-c2ccc(*)cc2)s1,2.6784,136
*CC(=O)c1ccc(C(*)=O)s1,3.1941,137
*CC(=O)c1ccc(C(*)=S)s1,3.6254,138
*CC(=O)c1ccc(O*)s1,2.4711,139
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,2.4129,140
*CC(=O)c1ccc(-c2ccc(*)cc2)cc1,2.336,141
*CC(=O)c1ccc(C(*)=O)cc1,2.7979,142
*CC(=O)c1ccc(C(*)=S)cc1,3.7473,143
*CC(=O)c1ccc(O*)cc1,2.3793,144
*CC(=O)Cc1ccc(*)s1,1.6069,145
*CC(=O)Cc1ccc(*)cc1,1.8209,146
*CC(=O)CC(*)=O,1.5258,147
*CC(=O)CC(*)=S,3.0632,148
*CC(=O)CO*,1.6393,149
*CC(=O)C(=S)c1ccc(*)s1,3.7805,150
*CC(=O)C(=S)c1ccc(*)cc1,3.6382,151
*CC(=O)C(=S)C(*)=O,4.8698,152
*CC(=O)C(=S)O*,2.8847,153
*CC(=O)Nc1ccc(*)s1,1.3272,154
*CC(=O)Nc1ccc(*)cc1,1.369,155
*CC(=O)NC(*)=O,1.5835,156
*CC(=O)NC(*)=S,2.9562,157
*CC(=O)Oc1ccc(*)s1,1.4534,158
*CC(=O)OC(*)=O,2.2158,159
*CC(=O)OC(*)=S,3.1169,160
*CC(=S)c1ccc(C(*)=S)s1,2.8676,161
*CC(=S)c1ccc(O*)s1,3.131,162
*CC(=S)c1ccc(C(*)=S)cc1,2.9742,163
*CC(=S)c1ccc(N*)cc1,3.0309,164
*CC(=S)c1ccc(O*)cc1,3.1915,165
*CC(=S)CO*,2.5664,166
*CC(=S)C(=O)O*,3.8755,167
*CC(=S)NO*,2.2076,168
*CNc1ccc(-c2ccc(*)cc2)s1,1.6671,169
*CNc1ccc(C(*)=O)s1,2.2797,170
*CNc1ccc(C(*)=S)s1,2.9244,171
*CNc1ccc(N*)s1,0.5629,172
*CNc1ccc(O*)s1,0.8203,173
*CNc1ccc(-c2ccc(*)s2)cc1,1.292,174
*CNc1ccc(N*)cc1,0.54,175
*CNc1ccc(O*)cc1,0.7695,176
*CNCc1ccc(*)s1,1.1612,177
*CNCc1ccc(*)cc1,1.2974,178
*CNCC(*)=O,1.6269,179
*CNCC(*)=S,2.6857,180
*CNCN*,0.8689,181
*CNCO*,0.7624,182
*CNC(=O)c1ccc(*)s1,1.968,183
*CNC(=O)C(*)=S,4.0732,184
*CNC(=S)c1ccc(*)s1,2.3974,185
*CNC(=S)c1ccc(*)cc1,2.3012,186
*CNC(=S)C(*)=O,3.7481,187
*CNC(=S)N*,1.4813,188
*CNC(=S)O*,1.5976,189
*CNOc1ccc(*)s1,1.0659,190
*CNOc1ccc(*)cc1,0.891,191
*CNOC(*)=S,2.5,192
*CNON*,0.9652,193
*COc1ccc(-c2ccc(*)cc2)s1,1.6377,194
*COc1ccc(O*)s1,0.8857,195
*COc1ccc(O*)cc1,0.9466,196
*COC(=O)O*,0.7529,197
*COC(=S)O*,2.0771,198
*CONC(*)=O,1.2523,199
*CONO*,0.421,200
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,3.453,201
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,4.1032,202
*Oc1ccc(-c2ccc(C(*)=O)s2)s1,2.952,203
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,3.2278,204
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)s1,3.7335,205
*Oc1ccc(-c2ccc(C(*)=O)s2)cc1,2.9075,206
*C(=O)c1ccc(C(=O)c2ccc(*)s2)s1,4.0693,207
*C(=O)c1ccc(C(=O)C(*)=S)s1,4.6396,208
*OC(=O)c1ccc(C(*)=O)s1,3.3779,209
*OC(=S)c1ccc(C(*)=O)s1,4.037,210
*C(=O)c1ccc(Oc2ccc(*)s2)s1,2.882,211
*C(=O)c1ccc(OC(*)=S)s1,3.2522,212
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,2.8757,213
*Oc1ccc(-c2ccc(C(*)=O)cc2)s1,2.3086,214
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,2.6442,215
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)cc1,3.6994,216
*C(=O)c1ccc(C(=O)c2ccc(*)s2)cc1,3.6543,217
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,2.1866,218
*C(=O)c1ccc(C(=O)C(*)=S)cc1,3.783,219
*OC(=S)c1ccc(C(*)=O)cc1,3.4955,220
