smiles,index,value,processed_strings
*CC(*)C,0,0.4343,CCC(C)C
*CC(*)F,1,0.874,CCC(C)F
*CC(*)(F)F,2,1.1415,CCC(C)(F)F
*C(F)C(*)(F)F,3,1.524,CC(F)C(C)(F)F
*CCC(F)(F)C(*)(F)F,4,0.4489,CCCC(F)(F)C(C)(F)F
*CC(F)(F)C(F)(F)C*,4,0.4489,CCC(F)(F)C(F)(F)CC
*C(F)(F)CCC(*)(F)F,4,0.4489,CC(F)(F)CCC(C)(F)F
*CO*,5,0.9897,COCO
*CCO*,6,0.3936,COCCO
*COC*,6,0.3936,CCOCC
*CC(O*)C(F)(F)F,7,0.7546,COC(CO)C(F)(F)F
*COC(*)C(F)(F)F,7,0.7546,CCOC(C)C(F)(F)F
*OCC(*)C(F)(F)F,7,0.7546,COCC(O)C(F)(F)F
*CCCO*,8,0.5672,COCCCO
*CCOC*,8,0.5672,CCCOCC
*Oc1ccc(Cc2ccc(*)cc2)cc1,9,1.1795,COc1ccc(Cc2ccc(O)cc2)cc1
*Cc1ccc(Oc2ccc(*)cc2)cc1,9,1.1795,CCc1ccc(Oc2ccc(C)cc2)cc1
*CCCCCOCO*,10,0.5413,COCOCCCCCO
*CCCCOCOC*,10,0.5413,CCCCCOCOCC
*CCCOCOCC*,10,0.5413,CCCCOCOCCC
*COCCCCCO*,10,0.5413,COCCCCCOCO
*CCOC(=O)NCCOCCOCCNC(=O)O*,11,0.573,COC(=O)NCCOCCOCCNC(=O)OCCO
*COC(=O)NCCOCCOCCNC(=O)OC*,11,0.573,CCOC(=O)NCCOCCOCCNC(=O)OCC
*OCCOC(=O)NCCOCCOCCNC(*)=O,11,0.573,COCCOC(=O)NCCOCCOCCNC(=O)O
*NCCOCCOCCNC(=O)OCCOC(*)=O,11,0.573,CNCCOCCOCCNC(=O)OCCOC(N)=O
*CCOCCOCCNC(=O)OCCOC(=O)N*,11,0.573,CNC(=O)OCCOC(=O)NCCOCCOCCN
*CNC(=O)OCCOC(=O)NCCOCCOC*,11,0.573,CCNC(=O)OCCOC(=O)NCCOCCOCC
*CCNC(=O)OCCOC(=O)NCCOCCO*,11,0.573,COCCOCCNC(=O)OCCOC(=O)NCCO
*CCOCCNC(=O)OCCOC(=O)NCCO*,11,0.573,COCCNC(=O)OCCOC(=O)NCCOCCO
*COCCNC(=O)OCCOC(=O)NCCOC*,11,0.573,CCOCCNC(=O)OCCOC(=O)NCCOCC
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,12,3.0398,Cc1ccc(-c2nc3cc4nc(C)oc4cc3o2)cc1
*CCCCCS*,13,0.5118,CSCCCCCS
*CCCCSC*,13,0.5118,CCCCCSCC
*CCCSCC*,13,0.5118,CCCCSCCC
*Sc1ccc(*)cc1,14,2.0372,CSc1ccc(S)cc1
*CCOC(=O)CCCCC(=O)O*,15,1.0754,COC(=O)CCCCC(=O)OCCO
*COC(=O)CCCCC(=O)OC*,15,1.0754,CCOC(=O)CCCCC(=O)OCC
*OCCOC(=O)CCCCC(*)=O,15,1.0754,COCCOC(=O)CCCCC(=O)O
*CCCCC(=O)OCCOC(*)=O,15,1.0754,CCCCCC(=O)OCCOC(C)=O
*CCCC(=O)OCCOC(=O)C*,15,1.0754,CCCCC(=O)OCCOC(=O)CC
*CCC(=O)OCCOC(=O)CC*,15,1.0754,CCCC(=O)OCCOC(=O)CCC
*CCOC(=O)CCCCCCC(=O)O*,16,0.8924,COC(=O)CCCCCCC(=O)OCCO
*COC(=O)CCCCCCC(=O)OC*,16,0.8924,CCOC(=O)CCCCCCC(=O)OCC
*OCCOC(=O)CCCCCCC(*)=O,16,0.8924,COCCOC(=O)CCCCCCC(=O)O
*CCCCCCC(=O)OCCOC(*)=O,16,0.8924,CCCCCCCC(=O)OCCOC(C)=O
*CCCCCC(=O)OCCOC(=O)C*,16,0.8924,CCCCCCC(=O)OCCOC(=O)CC
*CCCCC(=O)OCCOC(=O)CC*,16,0.8924,CCCCCC(=O)OCCOC(=O)CCC
*CCCC(=O)OCCOC(=O)CCC*,16,0.8924,CCCCC(=O)OCCOC(=O)CCCC
*CCOC(=O)c1ccc(C(=O)O*)cc1,17,2.2723,COC(=O)c1ccc(C(=O)OCCO)cc1
*COC(=O)c1ccc(C(=O)OC*)cc1,17,2.2723,CCOC(=O)c1ccc(C(=O)OCC)cc1
