smiles,value,index
*CC(*)C,7.6997,0
*CC(*)CC,7.9012,1
*CC(*)CCC,7.2705,2
*CC1CCC(*)C1,7.9703,3
*CC(*)CCCC1CCCCC1,7.5725,4
*C(*)C,7.4047,5
*C=C*,0.9567,6
*C=CCCCC*,5.7962,7
*C1CCC1*,6.5419,8
*CC1(*)CCCCC1,7.3387,9
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,4.8032,10
*CC(*)O,7.5488,11
*CC(*)C#N,7.4435,12
*CC(*)(C)C#N,7.1863,13
*CC(*)OC(C)=O,5.9373,14
*CC(*)CCc1ccc(C)cc1,4.5772,15
*C(C)C(*)O,7.9156,16
*C(F)C(*)(F)OC(F)(F)F,7.802,17
*CC(*)C(=O)c1ccc(CC)cc1,3.9853,18
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,6.0228,19
*CC(*)OC(=O)CC1CCCC1,6.4741,20
*CC(*)N1CCCC1=O,5.5902,21
*CC(*)C(=O)O,6.1071,22
*CC(*)C(=O)OC(C)C,6.455,23
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.4578,24
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.7185,25
*CC(*)(C)C(=O)OCC,6.2424,26
*CC(*)(C)C(=O)Oc1ccccc1,4.8118,27
*CC(*)(C)C(=O)OCCc1ccccc1,4.9946,28
*CC(*)(C)C(=O)OCC(F)(F)C(F)F,5.3983,29
*CC(*)(C)C(=O)OC(C(F)(F)F)C(F)(F)F,5.3218,30
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,6.1125,31
*CC(*)(C)C(=O)OCCOCC,5.9514,32
*CC(*)C(N)=O,6.3764,33
*CC(*)C(=O)OC(CC)CC,6.2722,34
*CC(*)C(=O)OCF,6.1736,35
*CC(*)C(=O)OCCCCSC,5.1007,36
*CC(*)C(=O)OCCCSCC,5.1212,37
*CC(*)C(=O)OCCSCCCC#N,5.1226,38
*CC(*)(C)C(=O)OCCC#N,6.2508,39
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.0236,40
*CC(*)(C#N)C(=O)OCC,6.1989,41
*CCC(C(=O)OC)C(*)C(=O)OC,6.3252,42
*CC(*)(C#N)C(=O)OC(C)C,5.8301,43
*C1C(=O)OC(=O)C1*,6.0081,44
*CC(*)F,8.3099,45
*C(F)C(*)(F)F,6.8451,46
*CCC(F)(F)C(*)(F)Cl,7.4828,47
*CCC(F)(F)C(*)(F)F,9.1316,48
*C(F)(F)C1(F)C(F)(F)C(*)(F)C(F)(F)C1(F)F,6.9544,49
*CCC(Cl)C(*)Cl,6.4523,50
*C=CC(C*)(C(F)(F)F)C(F)(F)F,5.7329,51
*C=CC(C*)CCC,5.7469,52
*C1C=CC(*)CC1,5.4843,53
*C=CC(C)C(*)C(=O)OCCCC,5.4974,54
*CO*,8.7732,55
*OC(*)CCC#N,6.9611,56
*CCO*,6.2206,57
*CC(C)O*,6.9903,58
*CC(O*)C(F)(F)F,7.4158,59
*OC(F)(F)C(*)(F)F,10.1137,60
*CCCO*,7.4889,61
*Oc1ccc(Cc2ccc(*)cc2)cc1,4.3787,62
*CCCCCOCO*,6.8354,63
*Oc1ccc(SSCCCCCCCCCCSSc2ccc(*)cc2)cc1,4.2235,64
*OC(F)(F)C(F)(F)C(F)(F)C(*)(F)F,8.7307,65
*CC(C)CO*,7.3501,66
*CCOC(=O)NCCOCCOCCNC(=O)O*,6.4585,67
*CC1CC1CO*,6.9566,68
*CCOCCOCCOC(=O)CCCCCC(=O)O*,5.5157,69
*CCOCCOCCOC(=O)CCCCCCC(=O)O*,6.184,70
*CCOCCOC(=O)CCCCS(=O)(=O)CCCCC(=O)O*,5.7504,71
*ON(C(F)(F)F)C(F)(C(*)(F)F)C(F)(F)F,7.0955,72
*C1(F)OC(C(F)(F)F)(C(F)(F)Cl)OC1(*)F,7.8208,73
*C1OC(C(F)(F)F)(C(F)(F)F)OC1(*)F,8.0982,74
*CS*,4.8805,75
*CCCCCS*,4.989,76
*CCCCSCCS*,4.9438,77
*CCCCCCSCCS*,5.0604,78
*CCCCCCSSCCCCSS*,4.2836,79
*CCCCCCCCCCSCCCCCCS*,5.52,80
*CCOC(=O)NCCSCCCCSCCNC(=O)O*,5.1094,81
*CCCCCCOC(=O)NCCSCCSCCNC(=O)O*,4.7777,82
*CCCCCCOC(=O)NCCSCCCCCSCCNC(=O)O*,5.1327,83
*SC1CCCC(*)C1,5.2199,84
*CC1CCC(COC(=O)NCCSCCCSCCNC(=O)O*)CC1,5.0712,85
*CC1CCC(COC(=O)NCCSCCCCCSCCNC(=O)O*)CC1,5.4414,86
*Sc1ccc(*)cc1,3.1848,87
*CCc1ccc(Cc2ccc(CCS*)cc2)cc1,4.3552,88
*CCCC1CCN(C(=O)SSCCCCSSC(=O)N2CCC(*)CC2)CC1,4.297,89
*CCCCCCCCCCOC(=O)CCC(=O)O*,6.6201,90
*CCOC(=O)CCCCC(=O)O*,6.7769,91
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,6.718,92
*CCOC(=O)CCCCCCC(=O)O*,6.8383,93
*CCCOC(=O)CCCCCCC(=O)O*,6.4907,94
*CCOC(=O)c1ccc(C(=O)O*)cc1,3.8637,95
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,4.0149,96
*CCCCCC(=O)S*,5.0001,97
*CC(=O)O*,6.5712,98
*CCCCCC(=O)O*,7.0558,99
*CCCCCCCCCCCC(=O)O*,6.8377,100
*CCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCC(=O)O*,6.0542,101
*CC(C)C(C)COC(=O)c1ccc(C(=O)O*)cc1,4.2335,102
*CC(CCC)C(CCC)COC(=O)c1ccc(C(=O)O*)cc1,4.4708,103
*CCC(=O)O*,6.684,104
*CC(C)C(=O)O*,6.5897,105
*CCCOC(=O)CCCCCCCCCCC(=O)O*,6.3683,106
*OC(c1ccc(OC)cc1)C(C)(C)C(*)=O,4.5832,107
*CC1CCC(COC(=O)C2CCC(C(=O)O*)CC2)CC1,6.4924,108
*CC1CC1COC(=O)c1cccc(C(=O)O*)c1,4.4908,109
*OC(C)COC(=O)CCCCC(*)=O,6.5974,110
*CCOC(=O)C1CCC(C(=O)O*)CC1,6.4481,111
*Oc1ccc(CC(*)=O)cc1,4.6878,112
*CC(CCl)(CCl)C(=O)O*,6.1969,113
*CC(F)(F)C(F)(F)C(F)(F)COC(=O)CCCCC(=O)O*,6.2672,114
*CC(C)(C)COC(=O)CCCCC(=O)O*,6.5878,115
*OC(C)CCOC(=O)CCCCS(=O)(=O)CCCCC(*)=O,6.2709,116
*CC(F)(F)C(F)(F)C(F)(F)COC(=O)CCCC(=O)O*,5.7563,117
*CCCCOC(=O)C1CCC(C(=O)O*)CC1,6.5835,118
