smiles,value,index
*C*,6.8972,0
*CC(*)C,6.5196,1
*CC(*)CC,6.517,2
*CC(*)CCC,6.7336,3
*CC(*)CC(C)C,6.7394,4
*CC1CCC(*)C1,6.9613,5
*CC(*)CCCC1CCCCC1,6.3703,6
*C=CCCC*,4.6373,7
*C=CCC*,5.2133,8
*C=C*,1.3994,9
*CCC(C)C(*)C,6.6781,10
*C=CCCCCCCCC*,5.8277,11
*C=CCCCCCCCCCC*,5.8787,12
*C=CCCCCCC*,5.8437,13
*C=CCCCC*,5.7726,14
*C1CCC1*,6.0897,15
*C=CCCCCC*,5.8026,16
*C=CC1CCC(*)C1,5.4117,17
*C=CC(C*)C(C)CC,4.9643,18
*CC1(*)CCCCC1,6.3291,19
*CC(*)c1ccccc1C(=O)OC,5.0713,20
*CC(*)c1ccccc1Cl,2.4139,21
*CC(*)c1cccc(C)c1,5.185,22
*CC(*)c1ccc(CCCCCC)cc1,4.9872,23
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,5.0097,24
*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1,3.8601,25
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,2.7084,26
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,4.9663,27
*CC(*)c1ccc(C(=O)OCCCCCC)cc1,4.7078,28
*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1,3.6382,29
*CC(*)c1ccc(C(=O)c2ccccc2)cc1,3.5289,30
*CC(*)c1ccc(F)cc1,2.0489,31
*CC(*)c1ccc(C)cc1C,4.8585,32
*CC(*)c1cc(C)ccc1C,4.9137,33
*CC(*)c1cc(Cl)ccc1Cl,2.6378,34
*CC(*)c1cc(C)ccc1F,4.5949,35
*CC(*)c1cc(Br)ccc1OCCCC,4.5078,36
*CC(*)c1cc(Br)ccc1OCC,4.458,37
*CC(*)c1cc(Br)ccc1OC(C)C,4.6199,38
*CC(*)c1ccc(C)c(C)c1,4.4861,39
*CC(*)c1ccc(Cl)c(C)c1,4.762,40
*CC(*)c1ccc(Cl)c(Cl)c1,2.3069,41
*C(F)(F)C(*)(F)c1ccccc1,5.6014,42
*CC(*)c1ccc(C(=O)CCN2CCOCC2)cc1,3.2629,43
*CC(*)c1ccc2ccccc2c1,3.6351,44
*CC(*)c1ccncc1,2.5368,45
*CC(*)c1cccc(C)n1,5.0497,46
*CC(*)c1ccc(C)nc1,4.8601,47
*CC(*)n1cc2ccccc2n1,3.7572,48
*CC(CC(*)(C#N)C(=O)OC)c1ccccc1,5.5884,49
*CC(*)O,6.3648,50
*CC(*)C#N,7.7741,51
*CC(*)(C)C#N,7.6319,52
*CC(*)n1c2ccccc2c2ccccc21,4.0449,53
*CC(*)OC,5.5335,54
*CC(*)OCCCCC,5.9056,55
*CC(*)OC(C)=O,6.8523,56
*CC(*)OC(=O)CC,6.5454,57
*CC(*)OC=O,6.9603,58
*CC(*)OCc1ccccc1,5.0639,59
*CC(*)OC(=O)C(F)(F)F,6.7842,60
*C=CC(C*)OC,5.0501,61
*C=CCC(C)(CC*)C(=O)OC,5.4945,62
