smiles,value,index
*CC(*)C,6.185,0
*CC(*)F,7.6332,1
*CC(*)(F)F,8.1531,2
*C(F)C(*)(F)F,8.5986,3
*CCC(F)(F)C(*)(F)F,9.0178,4
*CO*,7.5826,5
*CCO*,7.0344,6
*CC(O*)C(F)(F)F,7.9431,7
*CCCO*,6.904,8
*Oc1ccc(Cc2ccc(*)cc2)cc1,6.1428,9
*CCCCCOCO*,6.9158,10
*CCOC(=O)NCCOCCOCCNC(=O)O*,7.1012,11
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,5.6689,12
*CCCCCS*,5.7733,13
*Sc1ccc(*)cc1,6.1739,14
*CCOC(=O)CCCCC(=O)O*,7.8277,15
*CCOC(=O)CCCCCCC(=O)O*,7.7636,16
*CCOC(=O)c1ccc(C(=O)O*)cc1,7.1539,17
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,7.6583,18
*CC(=O)O*,8.2018,19
*CCCCCC(=O)O*,7.458,20
*CCC(=O)O*,7.7853,21
*Oc1ccc(CC(*)=O)cc1,6.3961,22
*Cc1ccc(C(=O)O*)cc1,7.179,23
*CCC(=O)N*,6.8452,24
*CCCCCCC(=O)N*,6.5849,25
*CC(=O)N*,7.2525,26
*Nc1cccc(C(*)=O)c1,6.1179,27
*Cc1ccc(C(=O)N*)cc1,6.8713,28
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,5.1674,29
*OC(=O)c1ccc(C(*)=O)cc1,7.8184,30
*CCCCCOC(=O)O*,7.4318,31
*Oc1ccc(OC(*)=O)cc1,6.5915,32
*CCCN*,5.8246,33
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,6.383,34
*c1ccc(*)cc1,5.0935,35
*CCc1ccc(-c2ccc(*)cc2)cc1,5.6867,36
*OC1C(CO)OC(*)C(O)C1O,6.8689,37
*Cc1ccc(CO*)cc1,6.5689,38
*CCOCCOC(=O)O*,7.5966,39
*CCC(O*)(C(F)(F)F)C(F)(F)F,8.3643,40
*c1ccc(*)s1,4.5257,41
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,6.2671,42
*Nc1ccc(*)cc1,4.9916,43
*c1cccc(*)n1,6.0452,44
*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,3.5577,45
*c1ccc(-c2ccc(*)s2)s1,4.5257,46
*c1ccc2oc(-c3ccc4nc(*)oc4c3)nc2c1,5.6338,47
*Cc1ccc(C*)cc1,6.2134,48
*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,7.4162,49
*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,6.2005,50
*C(=S)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,5.4248,51
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,4.7769,52
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,5.7571,53
*Oc1ccc(C(=S)c2ccc(*)s2)s1,6.0778,54
*C(=S)OC(=S)c1ccc(*)s1,6.3892,55
*Oc1ccc(Oc2ccc(*)s2)s1,5.0541,56
*OC(=S)Oc1ccc(*)s1,6.1007,57
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)s2)cc1,4.7302,58
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,5.6406,59
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)s2)cc1,5.1637,60
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.6674,61
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.1678,62
*c1ccc(-c2ccc(C(=S)c3ccc(*)s3)s2)cc1,5.7103,63
*c1ccc(-c2ccc(Oc3ccc(*)s3)s2)cc1,4.9968,64
*C(=S)Oc1ccc(-c2ccc(*)cc2)s1,5.9399,65
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,5.1012,66
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,5.1853,67
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,5.6338,68
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,5.5837,69
*OC(=S)c1ccc(-c2ccc(*)cc2)cc1,5.9851,70
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,6.2119,71
*Oc1ccc(C(=S)c2ccc(*)cc2)s1,5.8629,72
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,5.6051,73
*Oc1ccc(C(=S)c2ccc(*)cc2)cc1,5.7685,74
*C(=S)OC(=S)c1ccc(*)cc1,6.5598,75
*Oc1ccc(Oc2ccc(*)cc2)s1,5.9034,76
*c1ccc(OC(=S)c2ccc(*)s2)cc1,5.9615,77
*OC(=S)Oc1ccc(*)cc1,6.6287,78
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,5.1385,79
*Cc1ccc(-c2ccc(C(*)=S)s2)s1,5.7652,80
*Cc1ccc(-c2ccc(O*)s2)s1,5.2494,81
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,5.2326,82
*Cc1ccc(-c2ccc(C(*)=S)cc2)s1,5.6896,83
*Cc1ccc(-c2ccc(O*)cc2)s1,5.4992,84
*Cc1ccc(Cc2ccc(*)s2)s1,5.797,85
*Cc1ccc(CC(*)=S)s1,5.8858,86
*Cc1ccc(C(=O)c2ccc(*)s2)s1,6.3555,87
*Cc1ccc(C(=O)C(*)=S)s1,6.4325,88
*Cc1ccc(C(=O)O*)s1,6.8862,89
*Cc1ccc(C(=S)c2ccc(*)s2)s1,5.9541,90
*Cc1ccc(C(=S)O*)s1,6.4155,91
*Cc1ccc(Nc2ccc(*)s2)s1,5.2507,92
*Cc1ccc(NC(*)=S)s1,5.7769,93
*Cc1ccc(NO*)s1,5.1816,94
*Cc1ccc(Oc2ccc(*)s2)s1,5.8606,95
*Cc1ccc(OC(*)=S)s1,6.155,96
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,5.1679,97
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.3092,98
*Cc1ccc(-c2ccc(C(*)=S)s2)cc1,5.8475,99
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,5.3793,100
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,5.528,101
*Cc1ccc(-c2ccc(C(*)=S)cc2)cc1,5.6651,102
*Cc1ccc(Cc2ccc(*)s2)cc1,5.5737,103
*Cc1ccc(Cc2ccc(*)cc2)cc1,6.2368,104
*Cc1ccc(CC(*)=S)cc1,5.9697,105
*Cc1ccc(C(=O)c2ccc(*)s2)cc1,6.578,106
*Cc1ccc(C(=O)c2ccc(*)cc2)cc1,6.6326,107
*Cc1ccc(C(=O)C(*)=S)cc1,6.2998,108
*Cc1ccc(C(=S)c2ccc(*)s2)cc1,5.8109,109
*Cc1ccc(C(=S)c2ccc(*)cc2)cc1,5.6687,110
*Cc1ccc(C(=S)O*)cc1,6.2737,111
*Cc1ccc(Nc2ccc(*)s2)cc1,5.4067,112
*Cc1ccc(Nc2ccc(*)cc2)cc1,5.3392,113
*Cc1ccc(NC(*)=S)cc1,5.8355,114
*Cc1ccc(NO*)cc1,5.6115,115
*Cc1ccc(Oc2ccc(*)s2)cc1,5.631,116
*Cc1ccc(OC(*)=S)cc1,6.2998,117
*CCc1ccc(-c2ccc(*)s2)s1,5.1709,118
*CCc1ccc(C(*)=S)s1,5.9475,119
*CCc1ccc(O*)s1,5.5608,120
*CCc1ccc(-c2ccc(*)s2)cc1,5.4079,121
*CCc1ccc(C(*)=S)cc1,5.8549,122
*CCc1ccc(O*)cc1,5.6727,123
*CCCc1ccc(*)s1,5.6976,124
*CCCc1ccc(*)cc1,5.9933,125
*CCCC(*)=O,6.6298,126
*CCCC(*)=S,5.7881,127
*CCC(=O)c1ccc(*)s1,6.6564,128
*CCC(=O)c1ccc(*)cc1,6.8635,129
*CCC(=O)C(*)=S,6.4199,130
*CCC(=S)O*,6.2041,131
*CCNc1ccc(*)s1,4.6632,132
*CCNc1ccc(*)cc1,4.8208,133
*CCNC(*)=S,5.3628,134
*CCON*,4.8207,135
*CC(=O)c1ccc(-c2ccc(*)s2)s1,5.6786,136
*CC(=O)c1ccc(-c2ccc(*)cc2)s1,6.0852,137
*CC(=O)c1ccc(C(*)=O)s1,7.202,138
*CC(=O)c1ccc(C(*)=S)s1,6.3101,139
*CC(=O)c1ccc(O*)s1,6.261,140
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,5.9294,141
*CC(=O)c1ccc(-c2ccc(*)cc2)cc1,6.2808,142
*CC(=O)c1ccc(C(*)=O)cc1,7.293,143
*CC(=O)c1ccc(C(*)=S)cc1,6.4748,144
*CC(=O)c1ccc(O*)cc1,6.5457,145
*CC(=O)Cc1ccc(*)s1,6.0343,146
*CC(=O)Cc1ccc(*)cc1,6.2518,147
*CC(=O)CC(*)=O,5.6663,148
*CC(=O)CC(*)=S,5.8877,149
*CC(=O)CO*,6.97,150
*CC(=O)C(=S)c1ccc(*)s1,6.3305,151
*CC(=O)C(=S)c1ccc(*)cc1,6.263,152
*CC(=O)C(=S)C(*)=O,6.8667,153
*CC(=O)C(=S)O*,6.719,154
*CC(=O)Nc1ccc(*)s1,5.8021,155
*CC(=O)Nc1ccc(*)cc1,5.8783,156
*CC(=O)NC(*)=O,5.8547,157
*CC(=O)NC(*)=S,5.8386,158
*CC(=O)Oc1ccc(*)s1,6.077,159
*CC(=O)OC(*)=O,8.5901,160
*CC(=O)OC(*)=S,6.7464,161
*CC(=S)c1ccc(C(*)=S)s1,4.932,162
*CC(=S)c1ccc(O*)s1,5.946,163
*CC(=S)c1ccc(C(*)=S)cc1,4.2727,164
*CC(=S)c1ccc(N*)cc1,5.6636,165
*CC(=S)c1ccc(O*)cc1,5.926,166
*CC(=S)CO*,5.5936,167
*CC(=S)C(=O)O*,6.5803,168
*CC(=S)NO*,5.6761,169
*CNc1ccc(-c2ccc(*)cc2)s1,5.4046,170
*CNc1ccc(C(*)=O)s1,5.431,171
*CNc1ccc(C(*)=S)s1,5.3497,172
*CNc1ccc(N*)s1,4.8739,173
*CNc1ccc(O*)s1,5.3042,174
*CNc1ccc(-c2ccc(*)s2)cc1,5.0179,175
*CNc1ccc(N*)cc1,4.6919,176
*CNc1ccc(O*)cc1,5.1109,177
*CNCc1ccc(*)s1,5.8087,178
*CNCc1ccc(*)cc1,6.259,179
*CNCC(*)=O,6.367,180
*CNCC(*)=S,6.0922,181
*CNCN*,6.0806,182
*CNCO*,6.4057,183
*CNC(=O)c1ccc(*)s1,6.3237,184
*CNC(=O)C(*)=S,7.0203,185
*CNC(=S)c1ccc(*)s1,5.8964,186
*CNC(=S)c1ccc(*)cc1,5.75,187
*CNC(=S)C(*)=O,6.3386,188
*CNC(=S)N*,5.6855,189
*CNC(=S)O*,6.2178,190
*CNOc1ccc(*)s1,5.578,191
*CNOc1ccc(*)cc1,5.7444,192
*CNOC(*)=S,6.7958,193
*CNON*,6.3414,194
*COc1ccc(-c2ccc(*)cc2)s1,5.3253,195
*COc1ccc(O*)s1,5.7358,196
*COc1ccc(O*)cc1,5.8209,197
*COC(=O)O*,8.8314,198
*COC(=S)O*,6.8707,199
*CONC(*)=O,7.3554,200
*CONO*,7.0389,201
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,5.3929,202
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,6.113,203
*Oc1ccc(-c2ccc(C(*)=O)s2)s1,5.5977,204
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,5.7571,205
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)s1,6.0589,206
*Oc1ccc(-c2ccc(C(*)=O)s2)cc1,5.7839,207
*C(=O)c1ccc(C(=O)c2ccc(*)s2)s1,7.0438,208
*C(=O)c1ccc(C(=O)C(*)=S)s1,6.8471,209
*OC(=O)c1ccc(C(*)=O)s1,7.3658,210
*OC(=S)c1ccc(C(*)=O)s1,6.7886,211
*C(=O)c1ccc(Oc2ccc(*)s2)s1,6.3539,212
*C(=O)c1ccc(OC(*)=S)s1,6.8199,213
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.8483,214
*Oc1ccc(-c2ccc(C(*)=O)cc2)s1,6.028,215
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,5.9803,216
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)cc1,6.1599,217
*C(=O)c1ccc(C(=O)c2ccc(*)s2)cc1,7.268,218
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,6.4709,219
*C(=O)c1ccc(C(=O)C(*)=S)cc1,6.7765,220
*OC(=S)c1ccc(C(*)=O)cc1,6.7625,221
*C(=O)c1ccc(Oc2ccc(*)s2)cc1,6.1761,222
