smiles,index,value,processed_strings
*CC(*)C,0,6.185,CCC(C)C
*CC(*)F,1,7.6332,CCC(C)F
*CC(*)(F)F,2,8.1531,CCC(C)(F)F
*C(F)C(*)(F)F,3,8.5986,CC(F)C(C)(F)F
*CCC(F)(F)C(*)(F)F,4,9.0178,CCCC(F)(F)C(C)(F)F
*CC(F)(F)C(F)(F)C*,4,9.0178,CCC(F)(F)C(F)(F)CC
*C(F)(F)CCC(*)(F)F,4,9.0178,CC(F)(F)CCC(C)(F)F
*CO*,5,7.5826,COCO
*CCO*,6,7.0344,COCCO
*COC*,6,7.0344,CCOCC
*CC(O*)C(F)(F)F,7,7.9431,COC(CO)C(F)(F)F
*COC(*)C(F)(F)F,7,7.9431,CCOC(C)C(F)(F)F
*OCC(*)C(F)(F)F,7,7.9431,COCC(O)C(F)(F)F
*CCCO*,8,6.904,COCCCO
*CCOC*,8,6.904,CCCOCC
*Oc1ccc(Cc2ccc(*)cc2)cc1,9,6.1428,COc1ccc(Cc2ccc(O)cc2)cc1
*Cc1ccc(Oc2ccc(*)cc2)cc1,9,6.1428,CCc1ccc(Oc2ccc(C)cc2)cc1
*CCCCCOCO*,10,6.9158,COCOCCCCCO
*CCCCOCOC*,10,6.9158,CCCCCOCOCC
*CCCOCOCC*,10,6.9158,CCCCOCOCCC
*COCCCCCO*,10,6.9158,COCCCCCOCO
*CCOC(=O)NCCOCCOCCNC(=O)O*,11,7.1012,COC(=O)NCCOCCOCCNC(=O)OCCO
*COC(=O)NCCOCCOCCNC(=O)OC*,11,7.1012,CCOC(=O)NCCOCCOCCNC(=O)OCC
*OCCOC(=O)NCCOCCOCCNC(*)=O,11,7.1012,COCCOC(=O)NCCOCCOCCNC(=O)O
*NCCOCCOCCNC(=O)OCCOC(*)=O,11,7.1012,CNCCOCCOCCNC(=O)OCCOC(N)=O
*CCOCCOCCNC(=O)OCCOC(=O)N*,11,7.1012,CNC(=O)OCCOC(=O)NCCOCCOCCN
*CNC(=O)OCCOC(=O)NCCOCCOC*,11,7.1012,CCNC(=O)OCCOC(=O)NCCOCCOCC
*CCNC(=O)OCCOC(=O)NCCOCCO*,11,7.1012,COCCOCCNC(=O)OCCOC(=O)NCCO
*CCOCCNC(=O)OCCOC(=O)NCCO*,11,7.1012,COCCNC(=O)OCCOC(=O)NCCOCCO
*COCCNC(=O)OCCOC(=O)NCCOC*,11,7.1012,CCOCCNC(=O)OCCOC(=O)NCCOCC
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,12,5.6689,Cc1ccc(-c2nc3cc4nc(C)oc4cc3o2)cc1
*CCCCCS*,13,5.7733,CSCCCCCS
*CCCCSC*,13,5.7733,CCCCCSCC
*CCCSCC*,13,5.7733,CCCCSCCC
*Sc1ccc(*)cc1,14,6.1739,CSc1ccc(S)cc1
*CCOC(=O)CCCCC(=O)O*,15,7.8277,COC(=O)CCCCC(=O)OCCO
*COC(=O)CCCCC(=O)OC*,15,7.8277,CCOC(=O)CCCCC(=O)OCC
*OCCOC(=O)CCCCC(*)=O,15,7.8277,COCCOC(=O)CCCCC(=O)O
*CCCCC(=O)OCCOC(*)=O,15,7.8277,CCCCCC(=O)OCCOC(C)=O
*CCCC(=O)OCCOC(=O)C*,15,7.8277,CCCCC(=O)OCCOC(=O)CC
*CCC(=O)OCCOC(=O)CC*,15,7.8277,CCCC(=O)OCCOC(=O)CCC
*CCOC(=O)CCCCCCC(=O)O*,16,7.7636,COC(=O)CCCCCCC(=O)OCCO
*COC(=O)CCCCCCC(=O)OC*,16,7.7636,CCOC(=O)CCCCCCC(=O)OCC
*OCCOC(=O)CCCCCCC(*)=O,16,7.7636,COCCOC(=O)CCCCCCC(=O)O
*CCCCCCC(=O)OCCOC(*)=O,16,7.7636,CCCCCCCC(=O)OCCOC(C)=O
*CCCCCC(=O)OCCOC(=O)C*,16,7.7636,CCCCCCC(=O)OCCOC(=O)CC
*CCCCC(=O)OCCOC(=O)CC*,16,7.7636,CCCCCC(=O)OCCOC(=O)CCC
*CCCC(=O)OCCOC(=O)CCC*,16,7.7636,CCCCC(=O)OCCOC(=O)CCCC
*CCOC(=O)c1ccc(C(=O)O*)cc1,17,7.1539,COC(=O)c1ccc(C(=O)OCCO)cc1
*COC(=O)c1ccc(C(=O)OC*)cc1,17,7.1539,CCOC(=O)c1ccc(C(=O)OCC)cc1
*OCCOC(=O)c1ccc(C(*)=O)cc1,17,7.1539,COCCOC(=O)c1ccc(C(=O)O)cc1
*C(=O)OCCOC(=O)c1ccc(*)cc1,17,7.1539,CC(=O)OCCOC(=O)c1ccc(C)cc1
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,18,7.6583,COC(=O)c1ccc(C(=O)OCCCCO)cc1
*CCCOC(=O)c1ccc(C(=O)OC*)cc1,18,7.6583,CCCCOC(=O)c1ccc(C(=O)OCC)cc1
*CCOC(=O)c1ccc(C(=O)OCC*)cc1,18,7.6583,CCCOC(=O)c1ccc(C(=O)OCCC)cc1
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,18,7.6583,COCCCCOC(=O)c1ccc(C(=O)O)cc1
*C(=O)OCCCCOC(=O)c1ccc(*)cc1,18,7.6583,CC(=O)OCCCCOC(=O)c1ccc(C)cc1
*CC(=O)O*,19,8.2018,COC(=O)CO
*COC(*)=O,19,8.2018,CCOC(C)=O
*OCC(*)=O,19,8.2018,COCC(=O)O
*CCCCCC(=O)O*,20,7.458,COC(=O)CCCCCO
*CCCCC(=O)OC*,20,7.458,CCCCCC(=O)OCC
*CCCC(=O)OCC*,20,7.458,CCCCC(=O)OCCC
*CCCOC(=O)CC*,20,7.458,CCCCOC(=O)CCC
