smiles,HOMO (eV),Bandgap (eV),Mw (kg/mol),PCE_ave,value,index
CCCCCCCCCCCCCCc1cc(C)sc1-c1cc2sc(-c3sc(C)cc3CCCCCCCCCCCCCC)cc2s1,-1.06,0.8,-0.31,2.34,2.34,0
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21,0.76,0.8,-0.12,3.6,3.6,1
CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,-0.15,-1.39,-0.3,5.12,5.12,2
CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C,0.03,-0.32,0.03,10.2,10.2,3
CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2ccc(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4cc(F)c(-c5sc(C)cc5F)s4)s3)c3nsnc23)sc1C,-0.61,-0.42,-0.27,10,10,4
CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C,0.03,-0.32,-0.13,9,9,5
CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C,0.03,-0.32,-0.43,7.7,7.7,6
CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2cc3c(cc(-c4cc(C[C@@H](CCCCCCCC)CCCCCCCCCC)c(C)s4)c4nsnc43)c3nsnc23)sc1-c1ccc(-c2ccc(C)s2)s1,-0.42,-0.91,-0.29,9.7,9.7,7
CCCCCCCC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,-0.51,-0.32,-0.16,7.4,7.4,8
CCCCC(CC)C[Si]1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,-1.29,-1.3,-0.49,4.7,4.7,9
CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2cc3c(cc(-c4cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c5ccc(C)s5)s4)c4nsnc43)c3nsnc23)sc1-c1ccc(C)s1,-0.88,-0.76,0.26,9.77,9.77,10
CCCCC(CC)Cc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(CC(CC)CCCC)CC(CC)CCCC)cc3CC(CC)CCCC)nc2s1,-1.06,0.26,0.3,5.52,5.52,11
CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2cc3c(cc(-c4cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c5ccc(C)s5)s4)c4nonc43)c3nonc23)sc1-c1ccc(C)s1,0.67,-0.95,2.35,8.5,8.5,12
CCCCCCc1cc(C)sc1C,-0.61,1.04,-0.49,4.4,4.4,13
CCCCCCCCCCCCc1cc(C)sc1-c1ccc(-c2ccc(-c3sc(C)cc3CCCCCCCCCCCC)s2)s1,-1.06,1.04,-0.57,1.15,1.15,14
CCCCCCCCCCCCc1cc(C)sc1-c1ccc(-c2ccc(-c3sc(C)cc3CCCCCCCCCCCC)s2)s1,-1.06,1.04,-0.31,0.83,0.83,15
CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,-0.51,-0.66,0.24,7.64,7.64,16
CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,-0.51,-0.66,-0.09,7.02,7.02,17
CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,-0.51,-0.66,1.14,5.9,5.9,18
CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,-0.51,-0.66,2.05,5.35,5.35,19
CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,-0.83,0.02,0.05,7.4,7.4,20
CCCCCCCCC(CCCCCC)COc1cc(-c2ccc(-c3ccc(C)c4nsnc34)s2)c(OCC(CCCCCC)CCCCCCCC)cc1-c1ccc(C)s1,-0.2,0.02,-0.34,4.89,4.89,21
CCCCCCCCC(CCCCCC)COc1cc(-c2ccc(-c3c(F)cc(C)c4nsnc34)s2)c(OCC(CCCCCC)CCCCCCCC)cc1-c1ccc(C)s1,0.08,0.02,-0.13,5.02,5.02,22
CCCCCCCCC(CCCCCC)COc1cc(-c2ccc(-c3c(F)c(F)c(C)c4nsnc34)s2)c(OCC(CCCCCC)CCCCCCCC)cc1-c1ccc(C)s1,0.53,0.22,0.21,7.06,7.06,23
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(C)ccc2c2ccc(C)cc21,1.21,1.38,-0.1,0.07,0.07,24
C/C=C/c1ccc2c3ccc(C)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,1.26,2.85,-0.62,0.4,0.4,25
C/C=C/c1ccc2c3ccc(/C=C/c4ccc(C)s4)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,0.85,2.36,-0.6,0.4,0.4,26
C/C=C/c1ccc2c3ccc(/C=C/c4sc(-c5cc(CCCCCCCC)c(C)s5)cc4CCCCCCCC)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,0.71,1.87,-0.59,0.3,0.3,27
C/C=C/c1ccc2c3ccc(/C=C/c4sc(-c5ccc(-c6ccc(-c7cc(CCCCCCCC)c(C)s7)s6)s5)cc4CCCCCCCC)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,0.3,1.38,-0.59,0.2,0.2,28
C/C=C/c1ccc2c3ccc(/C=C/c4ccc(-c5ccc(C6=C(CCCCCC)C(CCCCCC)=C(c7ccc(-c8ccc(C)s8)s7)S6(=O)=O)s5)s4)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,0.76,-0.08,-0.61,0.8,0.8,29
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21,0.76,0.8,-0.26,6.1,6.1,30
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nonc45)s3)cc21,0.57,1.48,-0.55,1.8,1.8,31
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4cnc(-c5ccc(C)s5)c5nccnc45)s3)cc21,0.85,0.85,-0.51,1.1,1.1,32
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4cnc(-c5ccc(C)s5)c5nsnc45)s3)cc21,0.89,0.17,-0.6,0.7,0.7,33
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nccnc45)s3)cc21,0.62,0.75,-0.28,2.4,2.4,34
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4cnc(-c5ccc(C)s5)c5nonc45)s3)cc21,0.98,-0.22,-0.6,0.8,0.8,35
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4nnc(-c5ccc(C)s5)c5nonc45)s3)cc21,1.66,-0.71,-0.58,0.47,0.47,36
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4nnc(-c5ccc(C)s5)c5nccnc45)s3)cc21,1.8,0.95,-0.58,0.13,0.13,37
CCCCCCCCc1nc2c(-c3ccc(C)s3)nnc(-c3ccc(-c4ccc5c6ccc(C)cc6n(C(CCCCCCCC)CCCCCCCC)c5c4)s3)c2nc1CCCCCCCC,1.94,0.36,-0.59,0.37,0.37,38
CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21,0.67,0.02,-0.47,3.05,3.05,39
CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4sc(-c5ccc(C)s5)c5nc(C)c(C)nc45)s3)cc21,-0.42,-0.71,-0.57,1.02,1.02,40
CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4sc(-c5ccc(C)s5)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)s3)cc21,-0.47,-1.25,-0.55,0.9,0.9,41
CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)ccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21,1.03,0.65,-0.53,2.67,2.67,42
CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)ccc2-c2ccc(-c3ccc(-c4sc(-c5ccc(C)s5)c5nc(C)c(C)nc45)s3)cc21,-0.33,-0.52,-0.6,1.37,1.37,43
CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)ccc2-c2ccc(-c3ccc(-c4sc(-c5ccc(C)s5)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)s3)cc21,-0.29,-0.81,-0.56,0.89,0.89,44
CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2cc3c(cc21)c1ccc(-c2ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s2)cc1n3C(CCCCCCCCCC)CCCCCCCCCC,0.53,0.95,-0.4,1.47,1.47,45
CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2cc3c(cc21)c1ccc(-c2ccc(-c4sc(-c5ccc(C)s5)c5nc(C)c(C)nc45)s2)cc1n3C(CCCCCCCCCC)CCCCCCCCCC,-0.15,-0.32,-0.5,0.84,0.84,46
CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2cc3c(cc21)c1ccc(-c2ccc(-c4sc(-c5ccc(C)s5)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)s2)cc1n3C(CCCCCCCCCC)CCCCCCCCCC,-0.06,-1,-0.46,1.27,1.27,47
CCCCCCC(CCCC)COc1ccc(N(c2ccc(OCC(CCCC)CCCCCC)cc2)c2ccc(-n3c4cc(C)ccc4c4ccc(-c5ccc(-c6c7nsnc7c(-c7ccc(C)s7)c7nc(-c8ccccc8)c(-c8ccccc8)nc67)s5)cc43)cc2)cc1,-2.42,-3,-0.61,0.61,0.61,48
CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4ccc(C)s4)s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(C)s1,-0.74,-2.03,0.58,4.7,4.7,49
