smiles,value,index
*C*,47.8,0
*CC(*)C,44.47,1
*CC(*)CC,34.04,2
*CC(*)CCC,20.01,3
*CC(*)CC(C)C,21.64,4
*CCCCCCCC(*)C,31.47,5
*CC(*)CCCCCC,75.06,6
*C=CCCC*,14.57,7
*C=CCC*,13.1,8
*C=CCCCCCC*,22.67,9
*CC(*)c1ccccc1,27.37,10
*CC(*)c1ccc(C)cc1,18.59,11
*CC(*)(C)c1ccc(C)cc1,34.09,12
*CC(*)c1ccc(O)cc1,11,13
*CC(*)O,39.089205,14
*CC(*)OC(=O)CCCCCCCCCCC,12.02,15
*CC(*)OC(=O)CCCCCCCCCCCCCCC,33.35,16
*CC(*)OC(=O)CCCCCCCCCCCCCCCCC,37.02,17
*CC(*)(C)C#N,8,18
*CC(*)C(=O)OC(C)C,53.86,19
*CC(*)C(=O)OCCCCCCCCCCCC,17.77,20
*CC(*)C(=O)OCCCCCCCCCCCCCC,27.01,21
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,39.64,22
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,43.74,23
*CC(*)(C)C(=O)OC,12.63789474,24
*CC(*)(C)C(=O)OCCCCCCCCCCCC,3.98,25
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCC,17.37,26
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,21.64,27
*CC(*)C(=O)NCCCCCCCCCCCC,1.76,28
*CC(*)C(=O)NCCCCCCCCCCCCCC,9.79,29
*CC(*)C(=O)NCCCCCCCCCCCCCCCC,16.73,30
*CC(*)C(=O)NCCCCCCCCCCCCCCCCCC,21.61,31
*CC(*)C(=O)NCCCCCCCCCCCCCCCCCCCCCC,35.71,32
*CC(*)(F)F,41.3664625,33
*CC(*)(Cl)Cl,67.76,34
*C(F)C(*)(F)F,72.97,35
*C(F)(F)C(*)(F)Cl,77.15,36
*CCC=C(*)Cl,90.11,37
*CCC(F)(F)C(*)(F)F,43.69,38
*CCC=C(*)C,52.26,39
*C=CC(C)C*,62.19,40
*CC(C)C=C(*)C,45.53,41
*CO*,97.74314666,42
*CCO*,70.6655082,43
*CC(C)O*,77.61,44
*CC(CCl)O*,51.33,45
*CC(O*)C(C)(C)C,20.98,46
*CCCO*,55.46,47
*CC(C)(C)CO*,47.31,48
*CC(CO)(CO)CO*,90.22,49
*CC(CO*)(COCC)COCC,26.85,50
*CCCCO*,17.54872941,51
*CCCCCCO*,93.3,52
*CCCCCCCCO*,92.75,53
*Oc1c(C)cc(*)cc1C,62.833401,54
*Oc1c(OC)cc(*)cc1OC,19.88,55
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,73.4,56
*CCOCO*,62.84,57
*CCCCOCO*,65.43,58
*CCOC(=O)c1ccc(O*)cc1,67.44,59
*CCOc1ccc(C(=O)OCCOC(=O)c2ccc(O*)cc2)cc1,96.09,60
*CC(=O)NCCCCCCNC(=O)CO*,31.96,61
*CCOCCOC(=O)NCCCCCCNC(=O)O*,56.78,62
*CCOCCOCCOC(=O)NCCCCCCNC(=O)O*,35.73,63
*CC(=O)OC(=O)c1ccc(C(=O)OC(=O)COc2ccc(O*)cc2)cc1,47.87,64
*CCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O*,25.61,65
*CCOCCOCCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O*,22.98,66
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,31.10578095,67
*CC(CC)(CC)CO*,41.8,68
*CCOCC(=O)O*,55.93,69
*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,38.53,70
*Oc1ccc(Oc2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,29.77,71
*CC(C)(CC)CO*,54.15,72
*CC(C)(CO)CO*,41.42,73
*CC(CO*)(COC=O)COC=O,53.4,74
*Oc1ccc(Oc2ccc(C(=O)c3cccc(C(=O)c4ccc(*)cc4)c3)cc2)cc1,72.53,75
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C,30.95,76
*CCCCCCCCCCOc1ccc(OC(=O)c2ccc(OCCOCCOCCOc3ccc(C(=O)Oc4ccc(O*)cc4)cc3)cc2)cc1,16.51,77
*Oc1ccc(Oc2ccc(NC(=O)c3ccc(Oc4ccc(Oc5ccc(C(=O)Nc6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,60.74,78
*Oc1cccc(Oc2ccc(NC(=O)c3ccc(Oc4cccc(Oc5ccc(C(=O)Nc6ccc(*)cc6)cc5)c4)cc3)cc2)c1,40.05,79
*c1cccc(Oc2ccc(-c3ccc(Oc4cccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)c4)cc3)cc2)c1,90.18,80
*CCCCCCOC(=O)Nc1ccc(C)c(NC(=O)OCCCCCCOc2ccc(-c3ccc(O*)cc3)cc2)c1,37.92,81
*CCCS*,98.81,82
*CCCCCCS*,87.41,83
*CCOC(=O)CCC(=O)O*,79.99,84
*CCCOC(=O)CCC(=O)O*,50.44,85
*CCCCOC(=O)CCC(=O)O*,56.84,86
*CCCOC(=O)CCCC(=O)O*,24.04,87
*CCOC(=O)CCCCC(=O)O*,69.34,88
*CCCOC(=O)CCCCC(=O)O*,26.74,89
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,88.04,90
*CCOC(=O)CCCCCCC(=O)O*,57.21,91
*CCCOC(=O)CCCCCCC(=O)O*,92.48,92
*CCOC(=O)CCCCCCCC(=O)O*,57.8,93
*CCCCCCCCCOC(=O)CCCCCCCC(=O)O*,73.07,94
*CCCCCCCCCCOC(=O)CCCCCCCC(=O)O*,66.73,95
*CCOC(=O)CCCCCCCCC(=O)O*,60.1,96
*CCCOC(=O)CCCCCCCCC(=O)O*,37.93,97
*CCCCOC(=O)CCCCCCCCC(=O)O*,44.62,98
*CCCCCCOC(=O)CCCCCCCCC(=O)O*,74.61,99
*CCCCCCCOC(=O)CCCCCCCCC(=O)O*,45.6,100
*CCCCCCCCCCOC(=O)CCCCCCCCC(=O)O*,75.09,101
*CCOC(=O)c1ccc(C(=O)O*)cc1,31.7557344,102
*CCOC(=O)c1cccc(C(=O)O*)c1,40.99,103
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,34.54432121,104
*CCCCOC(=O)c1cccc(C(=O)O*)c1,18.14,105
*CCCCCOC(=O)c1ccc(C(=O)O*)cc1,21.11,106
*CCCCCCOC(=O)c1ccc(C(=O)O*)cc1,84.06,107
*CCCCCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,79.26,108
*Oc1c(Cl)cc(C(C)(C)c2cc(Cl)c(OC(=O)CCCCC(*)=O)c(Cl)c2)cc1Cl,48.47,109
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,40.762904,110
*CCCCOC(=O)CCCCC(=O)O*,63.01,111
*CCCCCOC(=O)CCCCC(=O)O*,34.68,112
*OC1CCC(OC(=O)CCCCC(*)=O)CC1,76.23,113
*CCCCC(=O)O*,44.85,114
*CCCCCC(=O)O*,44.91891622,115
*CCCCCCCCCCC(=O)O*,48.08,116
*CCCCCCCCCCCCC(=O)O*,74.44953187,117
*CCCCCCCCCCCCCCC(=O)O*,60.3,118
*CCCCCCC(=O)O*,40.25,119
*CCCCCCCC(=O)O*,44.53,120
*CCCCCCCCC(=O)O*,41.41,121
*CCCCCCCCCC(=O)O*,50.94,122
*CCCCCCCCCCCC(=O)O*,59.84,123
*CCCCCCCCCCCCCCOC(=O)CCCCC(=O)O*,88.39,124
*CCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,87.94,125
*CCCCCCCCCCCCCCCCOC(=O)CCCCC(=O)O*,83.83,126
